states,election_year,rep_pvotes,dem_pvotes,ind_pvotes,oth_pvotes,total_pvotes,rep_votes,rep_pct,dem_votes,dem_pct,ind_votes,ind_pct,oth_votes,oth_pct,tot_votes,year
Alaska ,2002,72248,32547,0,2723,107518,129279,55.8,94216,40.7,0,0,7989,3.5,231484,2006
Arizona,2002,320090,234084,0,3263,557437,554465,45.2,566284,46.2,84947,6.9,20415,1.7,1255615,2006
California,2002,2328937,2402077,56268,493473,5286204,3169801,42.4,3533490,47.3,0,0,773020,10.3,7476311,2006
Colorado,2002,189705,98897,0,0,288602,884583,62.6,475373,33.7,0,0,52646,3.7,1412602,2006
Hawaii ,2002,79871,188781,0,1463,270115,197009,51.1,179647,46.6,0,0,8801,2.3,385457,2006
Idaho ,2002,145549,38083,0,1106,202270,231566,56.3,171711,41.7,13,0,8187,2,416533,2006
Montana ,2004,110198,94795,0,0,204993,205313,46,225016,50.4,0,0,15817,3.5,456096,2006
Nevada,2002,117474,88974,0,0,206448,344001,68.2,110935,22,0,0,49143,9.7,504079,2006
New Mexico,2002,98320,168496,0,0,266816,189074,39,268693,55.5,0,0,26466,5.5,484233,2006
Oregon,2002,357764,374246,109905,16610,858525,517243,40.1,530708,41,213657,16.5,32153,2.4,1293761,2006
Utah,2004,NA,NA,NA,NA,NA,524816,57.8,373670,41.2,0,0,8220,0.9,906706,2006
Washington ,2004,557106,793015,0,15268,1480247,1373232,48.8,1373361,48.8,0,0,63465,2.2,2883499,2006
Wyoming,2002,90685,36799,0,0,127484,88873,47.9,92662,50,0,0,3924,2.1,185459,2006
