states,election_year,rep_pvotes,dem_pvotes,ind_pvotes,oth_pvotes,total_pvotes,rep_votes,rep_pct,dem_votes,dem_pct,ind_votes,ind_pct,oth_votes,oth_pct,tot_votes,year
Arkansas,2010,(c),(c),0,0,0,262784,33.6,503336,64.4,14513,1.9,700,0.1,781333,2013
Florida ,2010,1294438,871335,0,0,2165773,2619335,48.9,2557785,47.7,123831,2.3,58784,1.1,5359735,2013
Georgia,2010,680499,395467,0,0,1075966,1365832,53,1107011,43,103194,4,124,0,2576161,2013
Kentucky,2011,142108,(c),0,0,142108,294034,35.3,464245,55.7,74860,9,0,0,833139,2013
Louisiana (f),2011,673239,288161,12528,49235,1023163," 673,239 (f) ",65.8,288161,28.2,12528,1.2,49235,4.8,1023163,2013
Mississippi,2011,289788,"412,530 (g)",0,0,702318,544851,61,348617,39,0,0,0,0,893468,2013
Missouri,2012,557406,314158,2500,0,874064,1160265,42.5,1494056,54.8,73509,2.7,53,0,2727883,2013
North Carolina ,2012,897137,934287,0,0,1831424,2447988,54.7,1931750,43.2,95154,2.1,0,0,4474892,2013
Oklahoma ,2010,249069,263688,0,0,512757,625506,60.4,409261,39.6,0,0,0,0,1034767,2013
South Carolina,2010,"422,251 (h)",189348,0,0,611599,690525,51.4,630534,46.9,20114,1.5,3025,0.2,1344198,2013
Tennessee ,2010,725408,"284,894 (c)",0,0,1010302,1041545,65,529851,33.1,30092,1.9,61,0,1601549,2013
Texas,2010,1484542,680548,0,0,2165090,2737481,55,2106395,42.3,128727,2.6,7267,0.1,4979870,2013
Virginia ,2009,(a),319168,0,0,319168,1163523,58.7,818901,41.3,0,0,0,0,1982424,2013
West Virginia ,2012,81019,354849,0,0,435868,299682,45.7,331116,50.5,25236,3.8,0,0,656034,2013
Alaska ,2010,107982,"46,427 (i)",0,0,154409,151318,59.1,96519,37.7,7457,2.9,898,0.4,256192,2013
Arizona,2010,585851,"286,565 (c)",4485,0,876901,938934,54.3,733935,42.5,54850,3.2,362,0,1728081,2013
California (j),2010,2377079,2395287,85097,0,4857463,4127391,40.9,5428149,53.8,539282,5.3,363,0,10095185,2013
Colorado,2010,390108,"303,245 (c)",2246,0,695599,199034,11.1,912005,51,676605,37.8,86,0,1787730,2013
Hawaii ,2010,44599,236607,679,0,281885,157311,41.1,222724,58.2,2548,0.7,0,0,382583,2013
Idaho ,2010,167617,27412,0,0,195029,267483,59.1,148680,32.9,36372,8,0,0,452535,2013
Montana ,2012,81526,175043,0,0,256569,158268,32.5,318670,65.5,0,0,9796,2,486734,2013
Nevada,2010,175040,114391,0,0,289431,382350,53.4,298171,41.6,23777,3.3,12231,1.7,716529,2013
New Mexico,2010,122269,"109,318 (c)",0,0,231587,321219,53.3,280614,46.5,0,0,994,0.2,602827,2013
Oregon,2010,314087,374404,0,0,688491,694287,47.8,716525,49.3,39523,2.7,3213,0.2,1453548,2013
Utah,2012,NA,NA,NA,NA,NA,412151,64.1,205246,31.9,25909,4,1,0,643307,2013
Washington ,2012,695116,712952,10884,23505,1442457,1404124,46.8,1598738,53.2,0,0,0,0,3002862,2013
Wyoming,2010,105760,22851,0,0,128611,123780,65.7,43240,22.9,5362,2.8,16081,8.5,188463,2013
